departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sitio Altamira,"2,005",2,Mayor de 18 años,No,Civil,Hombre,Herido,7.883545,-75.670508,Sin informacion,"(7.883545, -75.670508)",Sin Información
CAQUETA,18,FLORENCIA,"18,001",Rural,Vereda El Vergel,"2,003",5,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,1.621012,-75.619118,Sin informacion,"(1.621012, -75.619118)",Fuerza pública
CAQUETA,18,FLORENCIA,"18,001",Rural,Vereda El Vergel,"2,003",5,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,1.621012,-75.619118,Sin informacion,"(1.621012, -75.619118)",Fuerza pública
CAQUETA,18,FLORENCIA,"18,001",Rural,Vereda El Vergel,"2,003",5,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,1.621012,-75.619118,Sin informacion,"(1.621012, -75.619118)",Fuerza pública
ARAUCA,81,TAME,"81,794",Rural,Vereda Los Patos,"2,005",1,Menor de 18 años,No,Civil,Hombre,Herido,6.461209,-71.730855,Sin informacion,"(6.461209, -71.730855)","Pasando, estando cerca"
ARAUCA,81,TAME,"81,794",Rural,Vereda Los Patos,"2,005",1,Mayor de 18 años,No,Civil,Hombre,Muerto,6.461209,-71.730855,Sin informacion,"(6.461209, -71.730855)","Pasando, estando cerca"
META,50,VISTAHERMOSA,"50,711",Rural,Vereda La Esmeralda,"2,007",5,Mayor de 18 años,No,Civil,Hombre,Herido,3.125088,-73.752373,Sin informacion,"(3.125088, -73.752373)","Pasando, estando cerca"
CESAR,20,CURUMANÍ,"20,228",Rural,Sin información,"2,004",7,Menor de 18 años,No,Civil,Sin Información,Herido,9.197758,-73.533992,Sin informacion,"(9.197758, -73.533992)","Pasando, estando cerca"
BOLIVAR,13,ZAMBRANO,"13,894",Rural,En La Zona De Las Aromeras,"2,005",8,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,9.733253,-74.832099,Sin informacion,"(9.733253, -74.832099)",Fuerza pública
BOLIVAR,13,ZAMBRANO,"13,894",Rural,En La Zona De Las Aromeras,"2,005",8,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,9.733253,-74.832099,Sin informacion,"(9.733253, -74.832099)",Sin Información
BOLIVAR,13,ZAMBRANO,"13,894",Rural,En La Zona De Las Aromeras,"2,005",8,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,9.733253,-74.832099,Sin informacion,"(9.733253, -74.832099)","Pasando, estando cerca"
BOLIVAR,13,ZAMBRANO,"13,894",Rural,En La Zona De Las Aromeras,"2,005",8,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,9.733253,-74.832099,Sin informacion,"(9.733253, -74.832099)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,006",2,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.359167,-73.019167,Sin informacion,"(8.359167, -73.019167)",Fuerza pública
TOLIMA,73,RIOBLANCO,"73,616",Rural,Vereda Rio Negro,"2,008",1,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.441667,-75.8175,Sin informacion,"(3.441667, -75.8175)",Fuerza pública
ANTIOQUIA,5,SONSÓN,"5,756",Rural,Vereda Robalito,"2,005",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin información,"2,005",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Fuerza pública
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin información,"2,005",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Fuerza pública
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin información,"2,005",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Fuerza pública
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin información,"2,005",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Fuerza pública
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin información,"2,005",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,7.483919,-73.933361,Sin informacion,"(7.483919, -73.933361)",Fuerza pública
